tekst;kat
De sad på café i Skt. Petersborg, da bomben sprang få hundrede meter væk. Så gik de - en russisklærer fra Holstebro Gymnasium og HF og hendes mand - tættere på og blev overraskede. Hør deres historie her. ??;NORMAL
De ville have erobret verden med deres elbil. Men så godt gik det ikke for en lille flok danske pionerer.- Elbilen var et kæmpe flop, lød dommen fra flere aviser, efter en testkører kørte galt med bilen foran verdenspressen i 1983.;NORMAL
Den ene plade chokolade har taget den anden pose chips for 40-årige Flemming fra Skanderborg.Han har taget halvandet kilo på om året de sidste ti år og er nu en af de fem nye Rigtige mænd - DR, som du kan følge fra på onsdag.;NORMAL
Den er god nok. Det var et kæmpe næsehorn, du så blive kørt igennem Aarhus, Denmark tidligere i dag. ??????Naturhistorisk Museum vækker nemlig en række 12.000 år gamle dyr til ”live” i udstillingen ’Istidens Kæmper’, og i dag blev et de største af dem midlertidigt flyttet ned på Dokk1.;NORMAL
Den frie, stærke vikingekvinde er en myte, men hun kunne sagtens gifte sig igen med sin afdøde mands bror, fortæller arkæolog.;TEMA
Den færdige skræmmende scene var med i sidste uges #HistorienOmDanmark på DR1.Men bag kameraet er skuespillerne knaaapt så så skrækindjagende :,);TEMA
Den gamle hankat kan endnu ??????????????? #fynskkultur;NORMAL
Den russiske oligark har set sig lun på Dong Energys olie- og gasforretning.;NORMAL
Den russiske præsident Vladimir Putin siger, at alle teorier bliver efterforsket - også terror.;NORMAL
Den røde racer 'Rosa' bliver de Rigtige mænd - DRs trofaste følgesvend. Følg det nye hold fra i aften klokken 20.00;NORMAL
Den svenske kronprinsesse Victoria var dybt berørt, da hun var forbi for at lægge blomster tidligere i dag.;NORMAL
Der blev drømt stort i omklædningsrummet, da Vendsyssel FF i aftes sikrede sig en historisk plads i DBU Pokalens semfinale. Nu er de kun et skridt fra en pokalfinale i Parken og måske et internationalt eventyr!;NORMAL
Der er fuld bling bling for alle pengene.??;NORMAL
Der er gode kærlighedstips til din weekend fra de her skønne damer! ????;NORMAL
Der er masser af gode råd at hente i aftenens udgave af 'Spis og spar', hvor kokken Jesper Vollmer laver tapas ud af resterne fra køleskabet. Du kan se med klokken 20.00;NORMAL
Der er masser af gode råd at hente i aftenens udgave af 'Spis og spar', hvor kokken Jesper Vollmer laver tapas ud af resterne fra køleskabet. Du kan se med klokken 20.00;NORMAL
Der er meldinger om 9 dræbte og 20 sårede.OPDATERING: Den russiske statsanklager har oplyst, at det er uvist, om der er tale om terror, og at det er for tidligt at sige noget om årsagen.;NORMAL
Der er meldinger om dræbte og sårede efter eksplosion i Sankt Petersborg, skriver nyhedsbureauet Reuters og russiske medier.;NORMAL
Der er meldinger om dræbte og sårede.;NORMAL
Der er meldinger om tilskadekomne.;NORMAL
Der er måske hjælp på vej til de millioner af mennesker verden over, der ikke har adgang til rent drikkevand. Britiske forskere har nemlig opfundet en si af nanomaterialet grafen, som gør det muligt at udskille salt fra havvand, så det er lige til at drikke. Professor i Mikro- og Nanoteknologi Peter Bøggild, der selv forsker i grafen, er begejstret for opfindelsen. Hør hvad han sagde i DR2 Dagen i dag.;NORMAL
Der er omvendt jobmesse i Hedensted i dag. Du kan møde Pia Albrechtslund, der kan bage kager.;NORMAL
Der er sket meget siden Stenalderen - hvilke fordele og ja, bagdele :,-) ser du ved toiletforholdene før og nu? ?? #HistorienOmDanmark;TEMA
Der er sket meget siden Stenalderen - men hvad var og er fordele og ja, bagdele, dengang og nu? ?? #HistorienOmDanmark;TEMA
"Der er tryk på kørerskolerne som aldrig før, fordi 17-årige nu må tage kørerkort. Vi har været med i vognen her til morgen.... Her på redaktionen har en ""misset"" en fodgænger til køreprøven. En anden havde en motorsagkyndig, der faldt i søvn undervejs... Anekdoterne flyver, når snakken falder på dengang, vi tog kørekort :-D";NORMAL
Der ikke er tale om velgørenhed, når Dansk Supermarked i Højbjerg giver flygtninge og indvandrere en chance for at få et arbejdeMålet er nemlig at skaffe ny arbejdskraft i en tid, hvor arbejdsløsheden er faldende.;NORMAL
Der skal gøres op med regler og proceskrav, der stjæler offentligt ansattes tid.;NORMAL
Der sker ting og sager i din formiddagsradio fra maj. Her får Formiddag på 4'erens rutinerede vært Kasper Harbo nemlig nyt, kvindeligt selskab - Julie Berthels;NORMAL
Der var blandt andet chili og bryllup på programmet, da Bubber, Rasmus Brohave og Chili-Klaus gæstede 'Flashback' her til aften.Du kan se eller gense programmet her.;NORMAL
Der var grin, smil og lykønskninger, da OL-sølvvinderen Sara Slott Petersen i dag viste Michael Johnson rundt i Aarhus 1900 Atletik/Motion ??????????;NORMAL
Der var noget fremmed ved den. Sådan var reaktionen hos Lone Johansen, da hun fandt en urokse-knogle i Thy!Søndag aften rullede første afsnit af DR1's nye serie om Danmarkshistorien over skærmen, der handlede om stenalderen. I 9.10.000 en en gammel symbolsk kølle fra en urokse ligget lige for snuden af os i den vestjyske muld. Måske man skulle til at kigge efter gamle fund!Museum Thy;TEMA
Der var også krummer i Karen Blixens moster :D'Historiequizzen' dyster på Rungstedlund i morgen på DR K.;TEMA
Der var respekt til stenalderens håndværkere fra en flok tømrerlærlinge i dag. Lærlingene arbejdede i træ med kopier af hjortetaksøkser, som blev brugt for omkring 6.000 år siden på jernalderbopladsen ved Gårslev :);TEMA
"Det amerikanske forsvarsministerium kalder angrebet for en ""one-off"", altså en engangsfortéelse.";NORMAL
Det blev en kort karriere i kommunalpolitik...;NORMAL
Det bliver en regulær politisk blodtud, som ministeren modtager.;NORMAL
Det bliver nemt at følge med i 'Skam' for de danske fans! ??????;NORMAL
Det bliver Sana!;NORMAL
Det er alt for sent først at gribe ind i skolealderen, hvis tosprogede børn skal løftes, mener børn- og ungechef i Aarhus.;NORMAL
Det er altså smart!Hvis du ikke orker at aflevere dine tomme flasker, kan du få dem afhentet fx. Eva som godt kunne bruge pengene fra de tomme flasker :);NORMAL
Det er blandt andet byggemarkeder, planteskoler og havecentre, der har haft besøg af Miljøstyrelsens Kemikalieinspektion.;NORMAL
Det er en ny udvikling, der bekymrer Institut for Menneskerettigheder.;NORMAL
"Det er et ""overraskende højt tal"", siger speciallæge.";NORMAL
Det er for VIIILLDDDTT. Jeg har aflyst alle mine planer på mandag.??;NORMAL
Det er første gang i Norge, at en person har været tiltalt for at rekruttere til terrororganisationen.;NORMAL
Det er ikke nemt at overleve i stenalderen. Det fandt denne stakkel ud af. Hvordan mon du ville klare dig, hvis du blev sendt tilbage til flintvåben og rensdyrjagt?;TEMA
Det er om at holde tungen lige i munden, når man er til Mobile World Congress. Se aftenens afsnit af So Ein Ding - DR lige nu på DRTV.;NORMAL
Det er politiets klare opfattelse, at den 39-årige sad bag rattet, da lastbilen bragede ind i varehuset Årléns.;NORMAL
Det er populært at lave hold for udviklingshæmmede unge, og i Idrætsforeningen BR66 Langeskov strømmer frivillige til! (Y);NORMAL
Det er uvist, om han er en mulig gerningsmand.;NORMAL
Det er vigtigt at gå til tandlæge, hvis man har tandpine.;NORMAL
Det er virkelig også sjovt ????;NORMAL
Det har været den mest dramatiske sæson af X Factor - DR nogensinde, viser stemmetallene! ??;NORMAL
Det kan betyde, at der vil ske nogle rigtigt voldsomme overfald, lyder det fra arbejdsmiljørepræsentant, Hans Jacob Petersen. Han og de øvrige medarbejdere på Udrejsecenter Kærshovedgård mener, det går ud over sikkerheden, når staben hele tiden bliver skiftet ud.;NORMAL
Det korte svar er: Vi ved det ikke.#endelafhistorien;TEMA
Det krævede velvilje fra både tyr og skuespiller at få de sidste optagelser i hus til afsnittet om stenalderen.#endelafhistorien;TEMA
Det lyder vildt! ????;NORMAL
Det nye byggeri bliver otte meter højere end Herlev Sygehus.;NORMAL
Det nye byggeri på Aarhus Ø bliver 128 meter højt, hvilket er otte meter højere end Herlev Sygehus ????;NORMAL
"Det photoshoppede billede er blevet tilføjet som nummer 4071 på det russiske justitsministeriums lange liste over ""ekstremistiske materialer"".";NORMAL
Det var ikke så almindeligt at være perfekt i vores unge dage.;NORMAL
Det var vi ligeglade med. Bare vi solgte nogle blade.Vi dykker ned i Billed-Bladets gyldne æra  - 1970'erne. Se med første gang onsdag den 19. april kl. 20.30.;NORMAL
Det økologiske landbrug fylder mere og mere i Danmark. Hans Erik Jørgensen er ikke i tvivl om, hvorfor han er økologisk svineavler.;NORMAL
Direktøren hos Bobach Stålentreprise, Helle Bobach, oplever, at udfordringerne er de samme, uanset om man er mand eller kvinde i direktørstolen;NORMAL
"Dokumentarist Nagieb Khaja, Naser Khader (K) og mellemøstkorrespondent Steen Nørskov diskuterer i Ugens Gæst på P1 situationen i Syrien, hvor Trump har gennemført et luftangreb for at sætte en stopper for ""blodsudgydelser"" i landet.Har du et spørgsmål, kan du stille det i kommentarfeltet ?? eller ringe 70 21 19 19 ?";NORMAL
Donald J. Trump er bekymret for Nordkoreas udvikling af atomvåben.;NORMAL
Donald J. Trump har gjort alvor af sine trusler.;NORMAL
"Donald J. Trump opfordrer ""alle civiliserede nationer"" til at hjælpe med at stoppe de syriske blodsudgydelser.";NORMAL
DR1 har i aften premiere på 'De unge brugtvognsforhandlere' klokken 20.30.Brugtvognsforhandlere har et lidt blakket ry, men hvordan har du det egentlig med dem?????;NORMAL
DR1 søger mænd, kvinder og børn til optagelser i maj.;TEMA
Drengen er heldigvis i god behold.;NORMAL
Drengen er i bedring nu.;NORMAL
Du er sulten og alene og befinder dig på en strand - i stenalderen. Klarer du den? Prøv testen her :-)Som du måske så i 'Historien om Danmark' på DR1 i aftes, så var stenalderen en hård tid at leve i.;TEMA
Du kan for eksempel investere i mælk fra køer på græs.;NORMAL
Du kan stadig nå at blive klar til sæsonafslutningen af Homeland Det næstesidste afsnit ligger klar til din weekend lige her:;NORMAL
Du kommer cyklende ud ad en landevej. Og BUM. Så bliver du løbet ned af et rådyr.;NORMAL
'Du skal bare træf a gaf', siger Julle om hemmeligheden bag ringridning, som han er 'rimelig god til'.Om sønderjyden fra Ravsted også er rimelig god til at droppe frikadellerne og de tyske dåsebajere, får vi at vide i den nye sæson af Rigtige mænd - DR, som begynder i aften på DR1.;NORMAL
Du vil være en god forældre, en lovlydig borger og passe bedst muligt på andres børn. Det her er dit dilemma:Du skal have tre børn med i bilen. Den ene er dit eget. De to andre er venner. Du har én autostol med ryglæn og selepude uden. (Det er ulvetime, alle er sultne og én græder) Alle børn er under 1,35 meter høje. Dog er ingen under tre år. De skal transporteres hjem til dig...P4 kommer dig til undsætning:;NORMAL
Du, Allan, giver du en pølse?I 1977 blev Allan Simonsen kåret til Europas bedste fodboldspiller, og han var stærkt medvirkende til, at det danske landshold fik sit internationale gennembrud i begyndelsen af 1980'erne. I aften kl. 20.30 kan du se eller gense portrætprogrammet 'Vild med Allan'.;NORMAL
Dumdristige trafikanter eller farligt kryds. Døm selv.;NORMAL
"Dyrker dine børn stadig sport - trods længere skoledage?Ifølge Danmarks Idrætsforbund holder ""dommedagsprofetierne  om, at skolereformen ville ødelægge foreningsidrætten, ikke stik.""";NORMAL
Dødstallet stiger, efter en by i Idlib-provinsen i Syrien i går blev udsat for et giftangreb.(Personerne i videoen her er overlevende fra giftgasangrebet).;NORMAL
Efter afskeden som landstræner undgik Morten Olsen fodbold. Han var blevet træt af spillet.;NORMAL
Efter en stribe historier om fejl hos Akuttelefonen 1813 sætter sundhedsministeren nu en stor undersøgelse igang.;NORMAL
Egentlig var projektet med en bioethanolfabrik skinlagt. Men udsigt til 1,2 milliarder kroner fra en udenlandsk investor har genoplivet Maabjerg Energy Centers bioethanoleventyr. Om tre år kan fabrikken være en realitet - og have skabt 1000 arbejdspladser i det vesjyske.;NORMAL
Elton John og Gordon Ramsey er blandt de 63 personer, som mener, at deres telefoner er blevet aflyttet. ??;NORMAL
En flok erfarne kvinder giver en håndfuld gode råd om dating og kærlighed. God weekend :);NORMAL
En gang var det et hul i jorden. I dag er det lidt noget andet. Men der fordele ved dem begge to :,)#HistorienOmDanmark;TEMA
En god nyhed at gå på weekend til ?;NORMAL
En lastbil er kørt ind i personer på Drottninggatan i Stockholm, og der er tilsyneladende tilskadekomne.;NORMAL
