Stream Item Text;KAT
"Hans tal er forældede, og det er ikke helt rigtigt at vi kun kan ""gisne"" om hvor de  forskellige grupper kommer fra - Det meste kriminalitet begås af libanesere, hvis man ser på ikke-vestlige befolkningsgrupper.  Udover selvfølgelig danskere som begår 81% af al kriminalitet. Desuden medregner DST også indvandreres børn- så det er heller ikke rigtigt at de optræder som danskere i statistikken. Jeg fornægter ikke at graden af kriminalitet for unge mandlige indvandrere er ret højt for en enkelt befolkningsgruppe. Det tror jeg nærmere er et spørgsmål om at vise vejen, for folk som kommer til. Og ikke dumpe folk i ghettoer, eller hade dem før de gør entré :)";ANDET
Haha Haha Haha jeg turde ikke sige noget ??????;ANDET
Victor Gregersen tror på dig!!;ANDET
Kan vi stille op i double, hvor jeg starter og du slutter?;ANDET
Uhhhh glæder mig!!! Men det vil jo aldrig blive ligesom sidste år??;ANDET
Haha fedt nok ?????;ANDET
Radikale Venstre og P4 panelet... Jamen, så kan vi sove trygt inat ??Vor herre på hest...??;KLAGE
Tak for et godt råd :-);ANDET
Interessant. Så er der måske noget om overpriser på økologi.;ANDET
Frederik Jakob Kasper, hvor er det respektløst!;ANDET
Liridon 01:00 er mig;ANDET
Anna Ohmsen Marc Moeberg Mads Turpie Mathias Nymark Ida Hallbæck Viktoria Sofie Henning cute !!!!;ANDET
I feel left out! :’-(;ANDET
Hahahah hun er den skønneste, seriøst;ANDET
Det er nu, at Wozniacki skal holde fast i sit setup, og forlænge aftalen med Sascha Bajin. Han har løftet hendes spil. Hun er tilbage på højt niveau. Muligvis en GS i sigte med Bajin i trænerteamet.;ANDET
Men hvis alle de parforhold hun kender til, er nogen hvor der har været utroskab. Fortæller det så ikke noget om hendes omgangskreds? :D Det er nok den mest egoistiske tilgang for at blive tilfreds/opnår lykke, som jeg har hørt om.;ANDET
"Lars Lander Jeps, vi har en selskabsleg der hedder ""put-grisehalen-på-veganeren"". Hours of fun. :-D.";ANDET
Karen Helene Møller Jensen du kender det..;ANDET
Endelig - har set alle de gamle afsnit 1000 gange :-);ANDET
Fattigdom og total statslig kontrol over individet, det kan man også få her hjemme. Bare stem Enhedslisten.;ANDET
Rikke Langhoff Jørgensen og Natasja Christiansen kan I huske den første med Kamma?????;ANDET
Hahahaha ja!! Rasmus og jeg hørte den godt igår! Kæft hun er sød ????;ANDET
Møller Thea det bliver ikke vildere nu!!!! ??????;ANDET
Tror også alle blev hørt ????;ANDET
En af de bedste udsendelser på DR! <3;ANDET
Julie Ørnø Skal du ud og fange nogle it  kriminelle? ??;ANDET
Flot men skal nu over og nyde kampe og kvinde rugby lækker Rugby Lørdag :);ANDET
Signe Skaarup Andreassen ???;ANDET
"Deres krig? ;) Krigen er startet af U.S.A og EU ..";ANDET
Det er godt nok en dårlig logistik afdeling der forefindes i Hovedstaden.;ANDET
Den løgnhals har vist meget der skal forklares;ANDET
faktisk et rørende statement;ANDET
Jeg vil nu heller ikke kalde dig hemmelighedsfuld Kristian, man kan ALTID se det på dig når du forsøger at lyve eller snyde om en gave el lign??????;ANDET
Ja, jeg er jo helt væk... +_+;ANDET
Ja så mangler vi kun, at DBU vågner af dvalen og kommer frem i skoene;ANDET
Det er så sjovt ???? hun er så sød!;ANDET
Haha. Rikke Enemark Herlevsen og Maria Christensen;ANDET
Nu har jeg ikke set showet, men hvis det er Spang, så råber han også i sine shows - og de plejer at holde rimelig godt.;ANDET
Enig - ulækkert i kølediske, men der er maden trods alt pakket indsats til gengæld er der er ofte store fluer i skabet med det friske brød (uindpakket)i Rema 1000 på Østerbro.;ANDET
Claus Jensen :D :D;ANDET
Gad vide hvor kommunerne har fået den ide fra...http://politiken.dk/kultur/art4680981/Fyret-DR-direktør-fik-25-million-i-bonus;KLAGE
Altså passer da meget godt på mig - hvad synes I? Marie Pelle Trine Pelle;ANDET
Det handler om at beskytte de flygtninge der er og det i nærområdet. Levestandard osv må de selv stå for efterfølgende.;ANDET
Der er altid nogen der har ondt i røven;ANDET
Jeg er i nær familie med Louise og Per er min ex svoger. Jeg lover at der ikke er sagt ALT i denne udsendelse. PER skal ikke undskylde noget, overfor MIN SØSTER i denne sammenhæng. Det hører ikke sammen. Der ER to sider af denne sag. Louise har en diagnose, som i denne sammenhæng bliver misbrugt, mod hendes far. Psykologen er decideret elendig og burde have gjort Louise klart, at hendes far rent faktisk indfrier ALLE hendes krav ,i sit brev. Lige indtil hun trækker et beskidt kort, der INTET har og har haft, en  rolle i denne sag tidligere i forløbet. Et meget beskidt træk, der siger alt om at, Louise aldrig burde have sagt ja, til at deltage i udsendelsen. Desuden er der tale om en psykolog, der er en decideret  elendig forhandler. Hun kender Pers historik på forhånd, i forhold til Louises mor og burde have forudset og afværget denne ydmygende situation. Kender nok mere til denne situation, end  alle jer tilsammen og jeg lover at Louise, garanteret IKKE kender årsagen til skilsmissen og det skal hun heller ikke. Men jeg lover jer at, der er en grund, der ligger tilbage til tiden, hvor Louise er 4 år. Håber bare som moster til Louise, at Louise bliver i stand til at tage imod, før det er for sent.....jeg vil gøre mit......??;ANDET
Det bare et spørgsmål om tid;ANDET
"Egon Greve Jensen  der gir jeg dig for en gang skyld ret egon??Og hvad er det man så gir ""plads"" til for religioner? Er jo trods alt kristendommen grundloven også er bygget på!!! Skal den så revideres når vi kommer i mindretal? Er jo trods alt et demokrati vi lever i.";ANDET
Så forvent ikke medlidenhed næste gang en virksomhed lukker i Jylland. Så skal vi nok stå med hænderne over hovedet og juble, fordi x antal mister jobbet i Aalborg, Esbjerg, Aarhus o.lign.;ANDET
LER AW Mathilde Ida;ANDET
Jacob Stendevad i det mindste går licenspengene til at sandheden bliver fortalt ????????????;ANDET
Jeg er rødhåret ??;ANDET
Chanie Lykke Grith Hein Jensen ????;ANDET
Nej, jeg går altid udenom de økologiske varer. Både frugt, grønt, kød og mejeriprodukter. Min kæreste køber jævnligt økologiske produkter, men så må jeg jo selv af sted til købmanden. Jeg tror min aversion har noget at gøre med de indtryk jeg fik i økologiens barndom. Når du en gang har set hvordan møddingfluerne svømmer rundt, for til sidst at drukne i den økologiske mælk, så sætter det sine spor. Da jeg spurgte til de mange fluer var svaret indlysende enkelt: Da man jo ikke må sprøjte for fluerne i et økologisk landbrug, så er der selvfølgelig millioner af dem i produktionen. Om dagen er de på møddingen, og om natten i stalden.  Det er sikkert knap så galt i dag, men smagen af de økologiske mejeriprodukter behager mig ikke. De økologiske grøntsager er sjældent i ordentlig kvalitet og har begrænset holdbarhed, ligesom smagen ikke er bedre. Det samme med smagen i kødet, så hvorfor vælge noget der blot er dyrere? Men, det er helt ok at nogle har andre prioriteter. Velbekomme;ANDET
Provstgaard Henrik har du været leverandør ??????;ANDET
Sig mig engang, er det små børn på 5 år der sidder og sender nyheder ud ? Hvad skal det til for med emoji's ? Jeg kan godt forstå at folk ikke gider betale licens for sådan noget amatør-fis !;KLAGE
En flok tåber, der er stemt ind i vores folketing af tåber!;ANDET
Lasse Bruhn haha ??;ANDET
Haha du ser elendig ????;ANDET
Simon Martinsen Morten Schneider Camilla Jakobsen Casper Jensen Schmidt;ANDET
Louise Helligsø Larsen Julie Helligsø Larsen;ANDET
NEJ!  Absolut ikke!  ??;ANDET
Hasin dugur. Virkar so hj? Amiru ????So er tað um Chandler skuldi til handan ????????;ANDET
Tobias Astrup Juel-Jacobsen 100% det er også dig hjemme i sofaen ??????;ANDET
Chris Hendriksen Severinsen får du også kage om morgenen;ANDET
Du er så sej. ??;ANDET
Pia Piontek . Interessant og underligt at de radikale så ikke nedlagde “veto” i regeringen.;ANDET
Katrine Johnsen så er din drøm her;ANDET
Ja forbyd det nu.;ANDET
Det er så godt??????;ANDET
Den er stadigvæk fucking sjov??????????;ANDET
Jeg fucking ved det!!!!??;ANDET
Måske ikke skudt helt ved siden af... det er i hvertfald ret perfekt at være tre ??;ANDET
Det er et skalkeskjul for at svække offentlige institutioner. Husk det var LLR der stod bag kommunalreformen og de blå som helhed bag andre reformer som lagde udkantsdanmark øde for servicefunktioner. De er og bliver nogle infame kræmmere....;ANDET
Ahmad Afridi. Så kan vi få mange kontanthjælpsmodtagere i arbejde??;ANDET
Marianne Elstrup Jensen ????????;ANDET
Beklageligvis er mine bemærkninger anbragt i et forkert billede, det skulle være brugt til et billede af en niqabklædt kvinde hvor man kun så øjnene og et spm om, de skulle have frataget eller beholde kontanthjælpen! Tværtimod syntes jeg, at det er fremragende, at SaudiArabien er kommet ud over deres middelalder på et enkelt område!;ANDET
Selveste julemanden har fortalt mig at de 3 rigtige tegn er følgende : X - X - X OG ikke mindst god jul ????????;ANDET
Gad vide om min Puk kode ligger der i mellem.;ANDET
"Den arme dreng???? men desværre ikke første gang kommuner tror de ""ejer"" de børn som er underlagt en given sagsbehandlers lune ????Føj for satan siger jeg , hvor burde de græmme sig";ANDET
"Emilie Lykke Nielsen <3 ""skal I giftes en dag?""";ANDET
AGF er et galehus, og det har det altid været.;ANDET
Marie Jellesen Lasse Louis Svendsen Peter Tramm Frederik Krarup Nielsen sådan skal en kagemand være!!;ANDET
tænker stadig i gerne vil begraves et sted :) Jeg er på ingen måde kristen, men jeg holder af at folk kan komme og mindes de døde et bestemt sted.;ANDET
Det er rigtigt. Jeg må tage korset af i arbejdstiden. Nonner er inde i Guds hus i kirken. Det er en ganske anden sag end en verdslig arbejdsplads.;ANDET
"Den lakrids yoghurt har jeg også smagt, men den er ikke lige så god som den lakrids yoghurt Frejlev mejeri havde for Ca 35 år siden ""Panserbasse"" hed den og den var himmelsk. Vi havde den ikke hjemme hos os, men naboen havde den, de havde også Kaptajn Knas og andre morgenlækkerier ??";ANDET
I stedet for symptonbehandling bør man gøre noget ved problemet som ganske mange lider af og som ikke bidrager til sund tilværelse: http://www.snorker.dk/;ANDET
Louise Sindal Thomsen ??;ANDET
Å nej nu gider jeg ikke se på dem mere desværre.;ANDET
Mona Slot Iversen Husk at kvindelandsholdet ikke har en arbejdsgiver.!!Det må være svært at fatte for dig.!!!Syntes du skal læse op på alle forhandlingerne.! Så ville du tænke anderledes.SPF er helt ude i hampen.!Ultimative krav over for DBU.;ANDET
Haha det er jo så sandt!! ?? men idéen var god ??;ANDET
Husk på at det er den norske liga han spiller i!??Selv jeg kunne være topscorer i Norge med mit “høje” niveau ??;ANDET
Jeg tror at jeg har alt rigeligt i min nutidige tv-karriere ?? Men det der lyder da federe!;ANDET
Hvor er I dog nogen svin med vores penge!Sidder lige nu og ser den samme udsendelse for 3. gang.Skam jer gribbe!;KLAGE
Liivarña Venca Samucha Reimer lover de der facebook annoncer ikke er sande hahahah;ANDET
Michelle Wolf Spaanheden ??;ANDET
Heidi Lønberg ??Dorthe Holm ??;ANDET
Louise Gade Jensen - det var den her jeg havde hørt om morgenen der inden midtvejs ????;ANDET
Hahahaha. Eow hvad er det laaa;ANDET
Jonas Thaisen alvorligt !!!;ANDET
Det hedder musik og billedkunst Blachman. 4 timer endda. Måske skulle voksne gøre det samme i dette åndsløse samfund.;ANDET
Eut EgernTelepat Gustav Nystrup Simon Jørgensen ??;ANDET
Tror muligvis at mit hjerte flød fuuuuldstændig over der ????;ANDET
Ved jeg heller ikke om jeg tør????;ANDET
Hvem er de 700.000 der sympatisere med nazismen ?;ANDET
Bivirkning i hele verden!Der er flere tusind kvinder og piger der er ødelagt for livet af HPV vacciner.Hvorfor mon danske medier ikke ønsker at fortælle denne historie!!!? Ganske enkelt: Money, money, money! Og de stakkelse kvinder og piger bliver fremstillet som idioter.... i hele verden!Hvor er det bare KLAMT!!!;ANDET
Mikkel Brøns Christian Emil Rundqvist Godwin Chigozie Obasi;ANDET
Lise Kondrup se det er jul!;ANDET
Få det lort ud af landet igen!!! De hører IKKE til i Danmark!!!!;ANDET
Og hvad så med Hærens bidrag? Trækkes de tilbage?;ANDET
Nikolai Staunskær Bråthen er det sådan du arbejdede inden du blev svend?;ANDET
Yes det er fredag! Jeg skal hurra sætte stribs i en laaaang række plakater som skal op i morgen sammen med alle mine kollegaer, for at fortælle jer alle at nu er det snart den 21. november. Og så skal på besøg hos Thomas VovemoD Lütken og Jonas Pindhund Hallbergs fantastiske Vanebrudspalæ! Det er sjovt og jeg glæder mig! ????????;ANDET
Jørn Pedersen jeg finder det totalt usmageligt at de tigger på den måde.. aldrig om jeg støtter dem mere..;ANDET
Der er da mange tilfælde hvor man skal bruge en medhjælper hold nu op!!????;ANDET
Amanda Louise Nørgaard Dam du er en klar vinder ??;ANDET
ja det tænker jeg også??;ANDET
Emma Nielsen - HAHAHA;ANDET
Fuck det tar hjem;ANDET
Se mor Tina Bæch Nielsen;ANDET
Gad vist hvor mange der ville klaske deres chef bag i. Tror mest det går ned af i hierakiet.;ANDET
Kunne ikke være mere enig i den sag. ????;ANDET
Man hader automatisk det danske samfund fordi man går iklædt burka? Hvordan hænger det sammen? Helt ærligt - så hader jeg det danske samfund - jeg, der er pæredansk med aner tilbage til Jens Pedersen Kofoed. Jeg går ikke iklædt burka - men jeg spiser hverken svin eller holder jul. Jeg er ekstremt udansk og hader som sagt det danske 'samfund' - hvad vil grisen sige til det? Hvordan vil han 'nå mig'? Øf, øf....;ANDET
De er blevet til iskold business der leverer de gode resultater til toppen og scorer bonus for en skrabet sagsbehandling med masser af fejl, men det er der ikke nogen politiker der har undersøgt og regnet på i flere år... De skulle lynes op af en journalist eller ha konkurrence...;ANDET
Emma Aastrand Jørgensen Orion Pilo;ANDET
Lad os gifte os;ANDET
Mikkel PedersenJamen jeg glæder mig allerede??;ANDET
Hannah Zaupper Elisabeth Atay Caroline Madsen Nina Wedel Krogh Emma Sinclair Rikke Berg Andersen;ANDET
På arbejde.. Monterede bilradioer i demo pult, og alle stationer sendte pludselig det samme...;ANDET
Jørgen Fabrin Ibrahim taler Google-dansk.;ANDET
Jeg elsker bare at der stadig kan være 'hemmelige rum på størrels med et fly' i en af de mest undersøgte bygninger i verden, det er skønt at menneskeligheden i dag stadig kan overraskes og at vi ikke ved alting....;ANDET
Hijab skal være forbudt - ALLEVEGNE og ikke kun på offentlig arbejdspladser. Hijab forbud nu!;ANDET
Måske var hun fejldiagnosticeret?;ANDET
Hver venlig at rette det efter indslaget. Ven med Hanne, Ulla Bruun 22589794;ANDET
Jeg glæder mig så meget!!!;ANDET
Til DR. Nyhederne, inden i går videre i den debat, så tjek lige hvad grunden var til at vi skulle betale vægtafgift, Uden at have belæg for min påstand, ,mener jeg at vægtafgiften blev indført for at betale den nye Lillebæltsbro, og mon ikke den er betalt for længe siden, Så det ville vel være fornuftigt at overføre pengene til Storebælt, så den også bliver gratis;ANDET
Jeg kan SAGTENS forklare det,når der bedes i Jesus navn og der så sker hvad der sker,så er det jo Gud der gør det,og dermed er der beviser på at han findes.;ANDET
Mads Gianelli Andersson ??;ANDET
Jacob Cederstrøm Mikkelsen Casper Mikkelsen;ANDET
DÅRLIG IDE !! Se nu er det ikke alle forældre der er lige stive i alle ting og ting er ændret siden vi gik i skole og så er det at man ikke kan hjælpe børnene, men egentlig gør dem en bjørnetjeneste. Derfor er det godt at de i skolen kan få den rigtige hjælp.Regning som det hed i gamle dage, her stiller man jo tingene op på helt andre måder end i dag, så derfor sidder vi (gamle) og forvire dem, når vi kommer med vores (oldnordiske) måde at stille tingene op på, vi er så måske heller ikke dygtige nok,vi har ikke lært tingene, jeg havde en lære det forklarede det en gang på tavlen og alle der ikke kunne følge med, ja det var bare ærgerligt ( gudskelov fyret efter mange år) men der er mange af os i den skole som har haft problemet når vores børn ønsker hjælp og vi desvære må give op fordi vi netop ikke fik den hjælp der var nødvendig, her er lektiecafeerne en hjælp for vores børn og vi kan så hjælpe der hvor vi er lidt stivere i vores viden og ikke skulle lede den blinde ud i noget vi ikke aner noget om. Det er ikke smart at bestige et bjerg, hvis den der leder ene, ikke ved noget om hvordan man gør, det kommer der ikke noget godt ud af.??;ANDET
Armen så lad da være med at hoppe ud foran bilen;ANDET
I dag ligner området ligesom resten af byen en bunke lort;ANDET
Christian Moberg Nielsen ????;ANDET
Maylén Kylland Martine Lønning Tørressen Elisabeth Kleppe Tina Salthaug Martine Kjerulf Narum hahaha! Dette er det sykeste!??????????;ANDET
Hvad laver ham med skægget i bunden af billedet? Afslappet.dk;ANDET
Hanne Sommer Andersen for at din fortælling overhovedet giver mening, må man se på begge sider - et relevant spørgsmål er altså, hvilke rettigheder kvinder havde i Europa i år 600. Du gættede det: ikke ret mange. Sammenligningen er altså absurd. Jeg vil gerne se kilde-angivelser på de ting, du forestiller dig, muhammed anbefaler. https://en.wikipedia.org/wiki/List_of_Muslim_Nobel_laureates - her er en liste over muslimske nobelprismodtagere. Sluttelig en opfordring til at tjekke op på fakta, før man slynger vrøvl ud som kan modvises med en enkelt søgning på Wikipedia.;ANDET
Det værste ved alt det klaskeri er så.... når mændene får en på hovedet så kan de slet ikke forstå hvorfor de får en på hovedet, for de har jo ikke gjort noget ?? det var jo bare venligt ment. Øhhhh ja is dronning har man lov til at være og min røv tilhører stadig mig.;ANDET
Hov. Nationalparken uden for Wien er absolut ikke veldresseret natur, skabt af mennesker. Nationalparker er netop vild oprindelig natur med tusindårig historie.;ANDET
Mette Laugesen - jeg dør af grin ??????;ANDET
Jeg kunne tænke mig at høre rickhart ravnval og Ib mosin , du har spillet den en formiddag kan ikke huske hvad den hed hilsen Kirsten Hansen;ANDET
(QC) Bam goi ngay 15301627153593 de tiep tuc lien lac voi so dien thoai 01627153593. Cuoc goi 1190d/p, (tinh cuoc 6s+1), phi DV 500d. LH 198 (MIEN PHI). Tu choi QC, soaggggn TC gui 1530.;ANDET
MEN DET ER DEN SMUKKE DEL JO ????;ANDET
Stort tillykke Jørgen. Vi ses senere i Fredericia  ??;ANDET
De virker ikke uden kina. Men selv kina er træt af kim så før eller siden så stopper de med at holde hånden over dem.;ANDET
Frederik Vogel Sebastian Kubel Mathias Jadach Svendsen;ANDET
Det var, pardon my french, fa'en fisme sjovt i lørdags;ANDET
Haha han har en pointe! ??????;ANDET
???? tror Vickie har holdt hvad hun skulle.. med div skader?? og jeg har ingen have. Men er helt med på noget for de gamle??;ANDET
Ej men de er sgu gode! Var det ikke Margrete 1. som de havde lavet en facebookprofil til??;ANDET
Hvorfor det?Der kommer stadig reklamer fra dem, de kører jo videre, blot under TDC.;ANDET
Mathias Jensen Benjamin Lykke Grendslev ??;ANDET
Hej DR. Om eftermiddagen mellem kl. 17-17.50 sender i den australske tv serie der hedder en ny begyndelse. Jeg er blevet ret vild med den. Kan i oplyse mig om hvor mange afsnit der er i alt og hvor mange sæsoner og om i har i sinde at sende dem alle?. På forhånd tak??. Venlig hilsen Lene;ANDET
Det SKAL vi! ????;ANDET
lego laver stadig bare klodser. de har så indgået samabejde Disney og det er med til at hæve prisen.billigere klodser, ja tak;ANDET
Per Cardell Hjorth jeg tror du skal Google hvad et stråmandsargument er;ANDET
Dette var en opgørelse hvor alle skoler/gymnasier i landet blev spurgt til deres bederum. Jeg har selv brugt bederum, men ikke til religion, mere til afslapning og reflektion. De gange jeg blev afbrudt der var det oftest små grupper der kom med bibel i hånd. Jeg går ind for reflektionsrum, hvad folk bruger dem til er deres sag, så længe alle kan dele rummet, hvis nogen har brug for a bede, så lad dem.;ANDET
Der er ikke mange huller i din uvidenhed!;ANDET
han får da noget fra hånden af nogle der kunne lære noget af (bare min mening) sku godt gået bonderøv :-);ANDET
Det er sgu ikke i ordenSå må de jo få for meget i offentlig forsørgelse ??;ANDET
har aldrig forstået hvorfor nogen går med telt;ANDET
Selvfølgelig skal gymnasierne da have lov til at tjekke elevernes bærbare computere og derved sikre sig, at de ikke kan få personlig hjælp over nettet. Det ville jo svare til at have andre personer med til en skriftelig eksamen. Det går ikke.;ANDET
Ja må lige få taget mig sammen! ??;ANDET
Det er ikke smukt ????;ANDET
Tak Kasper for alle kampene, med din kampgejst og ildhu. Håber din viden om håndbold i fremtiden , vil komme andre spillere til gavn. Du vil blive savnet.;ANDET
Hey P6, I just wanted to give you my best compliments, it's the best radio I have ever heard in Denmark. I got introduced to your station yesterday and now I listen to you in the car. I spend about 3 hours driving per day, so I have a lot of time to enjoy your music.I'm really impressed, especially with the morning programme. I've been listening for two mornings now and I've already heard almost all my favourite bands: Placebo, Børns, Arctic Monkeys, St. Vincent, Foals, Franz Ferdinand, Velvet Volume... and much more.I feel like I listen to my own playlist, but it's only better ??Good job, I wish you were available in the traditional radio too! :);ANDET
Det er nok der for de ikke kan se skiltene, de holder ikke til højrer. Ha! Ha!, Ha!;ANDET
Steffen Futte Smut Nielsen;ANDET
"Lars Tronhjem Rasmussen - Hvem fanden har sagt, at ""de vil hævne det selv""?Mon ikke dine hykleriske fordomme igen har spillet dig et puds?:D";ANDET
Loki Martin Farbaute jeg har henvist til dokumentationen. At jeg er god til at argumentere ved jeg. at bedømme dette er du ikke kapabel til, da du end ikke kan læse indenad.;ANDET
Thomas Holst Sund ????????????????;ANDET
"Tror nu mest det er os ""gamle"" der har et problem med, at der bliver lagt danske stemmer på ?? Børnene er jo vant til det";ANDET
Når de ikke vil må i jo la være med at godkende reformen dem tar de jo bare fra de svageste i samfundet det har de jo altid gjort de er jo ude på at få lavet fattigegårde igen føj for fanden i skulle skamme jer venstre i lyver og snyder og bedrager mon ikke i har en lorte smag i munden;ANDET
så dårlig samvittighed efter :);ANDET
Haha, det er et program for jer Lisette Vibeke Eleonora Ovesen og Peter Ovesen ?? og jeg er enig med jan - jeg forstår heller ikke messmör! ??;ANDET
Niklas Daugaard Sørensen bare for at minde dig om at holde det go'e humør, vi ses;ANDET
Hvad sker der her? ????;ANDET
Casper Nielsen flommes Diller er død ????;ANDET
Lige præcis ! Trump har det svært med at bla Europa vender flere og flere af deres investeringer mod øst, Kina osv;ANDET
lytter med fra silkeborg kanten;ANDET
Gider du sætte dig ind i facts, før du udtaler dig Frank :o;ANDET
Dejligt at se, at et så vigtigt emne bliver bragt frem i lyset! Spot on.;ANDET
Mette Aagaard skulle man? ??;ANDET
Ja, det har jeg i den grad. Min søn er startet i 0. klasse i august, hvor de er 30 i klassen. Det er vi som forældre dybt bekymrede over - og forsøger også at råbe politikere og skoleledelse op: https://www.facebook.com/groups/120138852018772/;ANDET
Kathrine Hagbarth ?? skal jeg mener dig til?;ANDET
Lee Pointing den kan sagtens tåle et gensyn! ????;ANDET
Er det ikke X'en? Ham der generelt synes at folk overdriver med deres følelser? Lasse Ellegaard Jeppe Milwertz Søren Victor Hommelhoff Brink;ANDET
Birgitte Staahl Kasper Fabricius;ANDET
Kristina Nuccio Dreehsen så meget forud for vores tid.....så meget ?? Dåse-makrel rocks ????????;ANDET
Pernille Brinchmann Bos Hahaha ej okay ??????;ANDET
Der er sgu en gang øregas. Vi skal ikke føje nogen. ????;ANDET
Aww tænkt hvor søde drenge var dengang;ANDET
Liselotte Victoria Binau Kan du bevise det?;ANDET
Nej det er det ikke, heller ikke selvom alle tænker at det har betydning for os i og med at vores datter hedder Isolde - vi elsker hendes navn, men det særlige ved hende har aldrig været og bliver heller ikke hendes navn det er hendes helt unikke personlighed <3;ANDET
Ja, det skulle man mene;ANDET
Nanna os i børnehaven??;ANDET
Han skal se temalørdag med mig.;ANDET
"Så, er der opvarmning til imorgen Balfour LB Mariette Vilslev "" Sara Døssing""";ANDET
Har set den ?? hun er squ kær;ANDET
Stærkt Jonas Hulgaard Ammundsen...Godt at du viser der er lys for enden af tunellen;ANDET
Da jeg havde nattevagt, kunne vi køre ind til Hauges plads i Odense og få meget nybagt brunsviger kl 4 om morgenen :-D .....og den var så snasket og god, at den skulle nærmest spises med ske....UHM!;ANDET
"Var lige præcis hvad jeg havde tænkt mig at skrive, men nu har du gjort det for mig, og tak for det. ;)";ANDET
Carina Valentin Jensen grunden til at GEW er en lifesaver ????;ANDET
Den er jeg sgu vokset op med. Intet had!;ANDET
Line Kolling Thomas Kolling det passer sådan lidt ??;ANDET
Jo det er det ... det virker ikke på mig ??;ANDET
Laura Hoffmann Jacobsen gemmeleg med bae!;ANDET
Dea Wallin skal vi have film-aften?? :D;ANDET
Gitte Simonsen en tabermentalitet, ikke at ville træne og spille, op til en kval kamp. Selvmål!;ANDET
KasperJohan Christensen er klar !! ??;ANDET
Nej ikke ham igen ??;ANDET
Maria Hoffmann Rasmus Mainz Magnus Andersen Camilla Dalsgaard Hansen Bine Skriver Svenningsen Martin Guldberg Hedegaard Morten Lund Højer;ANDET
Det er det der er galt. DBU er mænd ,der sidder på pladserne og de kan i bund og grund ikke acceptere, et kvinde-holdet er mindst lige så godt som mændenes.;ANDET
Tak for info??God weekend.;ANDET
Mikkel Bøge Schorling ??;ANDET
Thomas Herzog Wilhelm Strønæs Steffensen Alexander Vilsmark Henrik Hulgård Madsen;ANDET
Tak for din omsorg - vores lille verden er blevet en stor musiker mindre;ANDET
Anette hadde fått kjørt seg! Tror kanskje hun måtte frem med malerkosten igjen;ANDET
Nååå ja  - det gør vi jo ????;ANDET
